Geneid	Chr	Start	End	Strand	Length	Drosha_1
mmu-miR-668-5p	chr12	109734733	109734756	+	24	0
mmu-miR-668-3p	chr12	109734774	109734797	+	24	0
mmu-miR-485-5p	chr12	109734910	109734931	+	22	0
mmu-miR-485-3p	chr12	109734946	109734967	+	22	0
mmu-miR-453	chr12	109735669	109735692	+	24	0
mmu-miR-154-5p	chr12	109738438	109738459	+	22	0
mmu-miR-154-3p	chr12	109738474	109738495	+	22	0
mmu-miR-496a-5p	chr12	109739132	109739152	+	21	0
mmu-miR-496a-3p	chr12	109739165	109739186	+	22	0
mmu-miR-377-5p	chr12	109740515	109740536	+	22	0
mmu-miR-377-3p	chr12	109740553	109740574	+	22	0
mmu-miR-541-5p	chr12	109742422	109742446	+	25	1
mmu-miR-541-3p	chr12	109742466	109742487	+	22	0
mmu-miR-409-5p	chr12	109743172	109743194	+	23	0
mmu-miR-409-3p	chr12	109743204	109743225	+	22	0
mmu-miR-412-5p	chr12	109743303	109743325	+	23	0
mmu-miR-412-3p	chr12	109743340	109743359	+	20	0
mmu-miR-369-5p	chr12	109743431	109743452	+	22	0
mmu-miR-369-3p	chr12	109743466	109743486	+	21	0
mmu-miR-410-5p	chr12	109743729	109743749	+	21	0
mmu-miR-410-3p	chr12	109743764	109743784	+	21	0
mmu-miR-3072-5p	chr12	109747893	109747914	+	22	0
mmu-miR-3072-3p	chr12	109747928	109747949	+	22	0
mmu-miR-1247-5p	chr12	110278094	110278115	-	22	0
mmu-miR-1247-3p	chr12	110278058	110278078	-	21	0
mmu-miR-3073a-5p	chr12	112109252	112109273	+	22	0
mmu-miR-3073a-3p	chr12	112109290	112109311	+	22	0
mmu-miR-3073b-5p	chr12	112109288	112109309	-	22	0
mmu-miR-3073b-3p	chr12	112109250	112109271	-	22	0
mmu-miR-203-5p	chr12	112130889	112130910	+	22	0
mmu-miR-203-3p	chr12	112130927	112130948	+	22	8
mmu-miR-6939-5p	chr12	112659327	112659347	-	21	0
mmu-miR-6939-3p	chr12	112659277	112659296	-	20	0
mmu-miR-6940-5p	chr12	112733328	112733350	+	23	0
mmu-miR-6940-3p	chr12	112733369	112733391	+	23	1
mmu-miR-6941-5p	chr12	112920515	112920535	-	21	0
mmu-miR-6941-3p	chr12	112920483	112920503	-	21	0
mmu-miR-7094-1-5p	chr12	114469444	114469466	-	23	0
mmu-miR-7094-3p	chr12	114469408	114469428	-	21	0
mmu-miR-7094b-2-5p	chr12	114513672	114513694	-	23	0
mmu-miR-6388	chr12	115695773	115695793	-	21	0
mmu-miR-153-5p	chr12	117250827	117250843	+	17	0
mmu-miR-153-3p	chr12	117250860	117250881	+	22	0
mmu-miR-466i-5p	chr13	17747525	17747544	+	20	0
mmu-miR-466i-3p	chr13	17747552	17747573	+	22	0
mmu-miR-6942-5p	chr13	21396613	21396633	-	21	0
mmu-miR-6942-3p	chr13	21396579	21396600	-	22	0
mmu-miR-1896	chr13	21445209	21445230	+	22	0
mmu-miR-1983	chr13	21896930	21896950	-	21	738
mmu-miR-6368	chr13	28710796	28710816	-	21	0
mmu-miR-5124a	chr13	40865801	40865820	+	20	0
mmu-let-7d-5p	chr13	48536078	48536099	-	22	1
mmu-let-7d-3p	chr13	48536024	48536045	-	22	0
mmu-let-7f-5p	chr13	48537889	48537910	-	22	65
mmu-let-7f-1-3p	chr13	48537833	48537854	-	22	0
mmu-let-7a-5p	chr13	48538239	48538260	-	22	20
mmu-let-7a-1-3p	chr13	48538188	48538209	-	22	0
mmu-miR-683	chr13	50544644	50544664	-	21	0
mmu-miR-6943-5p	chr13	55453111	55453130	+	20	0
mmu-miR-6943-3p	chr13	55453150	55453171	+	22	2
mmu-miR-6944-5p	chr13	55477754	55477776	-	23	0
mmu-miR-6944-3p	chr13	55477681	55477703	-	23	12
mmu-miR-6945-5p	chr13	55507667	55507688	-	22	0
mmu-miR-6945-3p	chr13	55507627	55507647	-	21	1
mmu-miR-874-5p	chr13	58023170	58023191	-	22	0
mmu-miR-874-3p	chr13	58023135	58023156	-	22	0
mmu-miR-6369	chr13	58313119	58313141	-	23	0
mmu-miR-7a-5p	chr13	58392841	58392863	-	23	46
mmu-miR-7a-1-3p	chr13	58392800	58392821	-	22	0
mmu-miR-713	chr13	62760807	62760825	+	19	0
mmu-miR-23b-5p	chr13	63300492	63300512	+	21	0
mmu-miR-23b-3p	chr13	63300529	63300549	+	21	1
mmu-miR-27b-5p	chr13	63300718	63300739	+	22	0
mmu-miR-27b-3p	chr13	63300760	63300780	+	21	25
mmu-miR-3074-5p	chr13	63301249	63301270	-	22	1
mmu-miR-3074-1-3p	chr13	63301211	63301232	-	22	0
mmu-miR-24-1-5p	chr13	63301213	63301235	+	23	3
mmu-miR-24-3p	chr13	63301251	63301272	+	22	365
mmu-miR-466f	chr13	71107108	71107129	+	22	0
mmu-miR-692	chr13	74407121	74407141	+	21	0
mmu-miR-682	chr13	75645119	75645139	+	21	0
mmu-miR-3961	chr13	82698278	82698296	-	19	0
mmu-miR-9-5p	chr13	83738821	83738843	+	23	3
mmu-miR-9-3p	chr13	83738858	83738879	+	22	0
mmu-miR-5624-5p	chr13	93790777	93790794	+	18	0
mmu-miR-5624-3p	chr13	93790816	93790837	+	22	0
mmu-miR-582-5p	chr13	109324753	109324774	+	22	0
mmu-miR-582-3p	chr13	109324790	109324810	+	21	1
mmu-miR-1904	chr13	109903819	109903840	+	22	0
mmu-miR-449c-5p	chr13	113036008	113036028	+	21	0
mmu-miR-449c-3p	chr13	113036049	113036070	+	22	0
mmu-miR-449b	chr13	113037429	113037448	+	20	0
mmu-miR-449a-5p	chr13	113037549	113037570	+	22	0
mmu-miR-449a-3p	chr13	113037589	113037610	+	22	0
mmu-miR-5124b	chr14	11282482	11282502	+	21	0
mmu-miR-6946-5p	chr14	20690640	20690660	+	21	0
mmu-miR-6946-3p	chr14	20690684	20690703	+	20	0
mmu-miR-7210-5p	chr14	24088877	24088899	+	23	0
mmu-miR-7210-3p	chr14	24088907	24088930	+	24	0
mmu-miR-3075-5p	chr14	25534451	25534471	+	21	0
mmu-miR-3075-3p	chr14	25534491	25534511	+	21	0
mmu-miR-7672-5p	chr14	26669587	26669608	-	22	0
mmu-miR-7672-3p	chr14	26669547	26669567	-	21	0
mmu-miR-6947-5p	chr14	29988893	29988913	+	21	0
mmu-miR-6947-3p	chr14	29988930	29988951	+	22	0
mmu-miR-3076-5p	chr14	30572150	30572173	+	24	1
mmu-miR-3076-3p	chr14	30572185	30572207	+	23	4
mmu-miR-346-5p	chr14	34894624	34894646	+	23	0
mmu-miR-346-3p	chr14	34894662	34894683	+	22	0
mmu-miR-327	chr14	44947483	44947501	-	19	0
mmu-miR-5131	chr14	45657972	45657994	-	23	1
mmu-miR-378c	chr14	46954905	46954925	-	21	0
mmu-miR-686	chr14	54616746	54616767	-	22	0
mmu-miR-6948-5p	chr14	54643084	54643105	-	22	1
mmu-miR-6948-3p	chr14	54643050	54643070	-	21	2
mmu-miR-208a-5p	chr14	54949107	54949128	-	22	0
mmu-miR-208a-3p	chr14	54949072	54949093	-	22	0
mmu-miR-208b-5p	chr14	54975745	54975766	-	22	0
mmu-miR-208b-3p	chr14	54975710	54975731	-	22	0
mmu-miR-6949-5p	chr14	56082441	56082463	-	23	0
mmu-miR-6949-3p	chr14	56082401	56082421	-	21	0
mmu-miR-3077-5p	chr14	57798424	57798448	+	25	0
mmu-miR-3077-3p	chr14	57798466	57798487	+	22	5
mmu-miR-719	chr14	60228873	60228894	-	22	0
mmu-miR-16-5p	chr14	61631936	61631957	-	22	141
mmu-miR-16-1-3p	chr14	61631894	61631915	-	22	0
mmu-miR-15a-5p	chr14	61632075	61632096	-	22	0
mmu-miR-15a-3p	chr14	61632038	61632059	-	22	0
mmu-miR-8098	chr14	62837797	62837817	+	21	0
mmu-miR-6541	chr14	62865610	62865630	+	21	0
mmu-miR-598-5p	chr14	63727199	63727221	+	23	0
mmu-miR-598-3p	chr14	63727236	63727257	+	22	1
mmu-miR-124-5p	chr14	64590670	64590691	+	22	2
mmu-miR-124-3p	chr14	64590709	64590728	+	20	2
mmu-miR-3078-5p	chr14	64591200	64591222	+	23	0
mmu-miR-3078-3p	chr14	64591239	64591258	+	20	0
mmu-miR-6539	chr14	67859699	67859722	-	24	1276
mmu-miR-6950-5p	chr14	69692253	69692275	+	23	0
mmu-miR-6950-3p	chr14	69692293	69692313	+	21	0
mmu-miR-320-5p	chr14	70443525	70443546	+	22	1
mmu-miR-320-3p	chr14	70443557	70443578	+	22	561
mmu-miR-687	chr14	73206808	73206829	-	22	0
mmu-miR-1971	chr14	78191451	78191468	-	18	0
mmu-miR-759	chr14	79738460	79738481	+	22	0
mmu-miR-5130	chr14	102982608	102982631	-	24	0
mmu-miR-6390	chr14	105623710	105623730	-	21	0
mmu-miR-17-5p	chr14	115043684	115043706	+	23	98
mmu-miR-17-3p	chr14	115043721	115043742	+	22	10
mmu-miR-18a-5p	chr14	115043867	115043889	+	23	0
mmu-miR-18a-3p	chr14	115043908	115043929	+	22	0
mmu-miR-19a-5p	chr14	115044012	115044033	+	22	0
mmu-miR-19a-3p	chr14	115044048	115044070	+	23	0
mmu-miR-20a-5p	chr14	115044183	115044205	+	23	11
mmu-miR-20a-3p	chr14	115044219	115044240	+	22	2
mmu-miR-19b-3p	chr14	115044358	115044380	+	23	4
mmu-miR-19b-1-5p	chr14	115044320	115044342	+	23	0
mmu-miR-92a-3p	chr14	115044476	115044496	+	21	178
mmu-miR-92a-1-5p	chr14	115044437	115044459	+	23	4
mmu-miR-6239	chr14	117953768	117953787	-	20	14
mmu-miR-6241	chr14	118258659	118258677	+	19	0
mmu-miR-6391	chr14	118592376	118592396	-	21	0
mmu-miR-1898	chr15	12171502	12171523	+	22	0
mmu-miR-7212-5p	chr15	25948227	25948247	+	21	0
mmu-miR-7212-3p	chr15	25948267	25948287	+	21	0
mmu-miR-7117-5p	chr15	27571499	27571520	+	22	0
mmu-miR-7117-3p	chr15	27571539	27571558	+	20	0
mmu-miR-3964	chr15	29713337	29713356	-	20	0
mmu-miR-599	chr15	35660846	35660864	-	19	0
mmu-miR-875-5p	chr15	35661016	35661037	-	22	0
mmu-miR-875-3p	chr15	35660982	35661002	-	21	0
mmu-miR-8097	chr15	36240113	36240134	-	22	0
mmu-miR-6951-5p	chr15	38490522	38490542	-	21	0
mmu-miR-6951-3p	chr15	38490473	38490493	-	21	0
mmu-miR-1907	chr15	50889035	50889056	-	22	0
mmu-miR-28c	chr15	53614216	53614235	-	20	0
mmu-miR-30b-5p	chr15	68337469	68337490	-	22	11
mmu-miR-30b-3p	chr15	68337431	68337452	-	22	0
mmu-miR-30d-5p	chr15	68341257	68341278	-	22	298
mmu-miR-30d-3p	chr15	68341217	68341238	-	22	6
mmu-miR-151-5p	chr15	73254855	73254875	-	21	4
mmu-miR-151-3p	chr15	73254820	73254840	-	21	15
mmu-miR-6952-5p	chr15	76064862	76064883	-	22	1
mmu-miR-6952-3p	chr15	76064828	76064849	-	22	1
mmu-miR-1942	chr15	76215621	76215641	-	21	0
mmu-miR-6953-5p	chr15	76248196	76248221	+	26	0
mmu-miR-6953-3p	chr15	76248235	76248258	+	24	0
mmu-miR-3079-5p	chr15	76290932	76290954	-	23	0
mmu-miR-3079-3p	chr15	76290891	76290911	-	21	0
mmu-miR-6954-5p	chr15	76433219	76433240	+	22	0
mmu-miR-6954-3p	chr15	76433253	76433273	+	21	0
mmu-miR-7676-5p	chr15	78284827	78284849	-	23	0
mmu-miR-7676-3p	chr15	78284788	78284809	-	22	0
mmu-miR-6955-5p	chr15	78891845	78891868	+	24	0
mmu-miR-6955-3p	chr15	78891891	78891912	+	22	2
mmu-miR-6956-5p	chr15	79002231	79002250	+	20	0
mmu-miR-6956-3p	chr15	79002265	79002284	+	20	1
mmu-miR-1943-5p	chr15	79375271	79375293	-	23	0
mmu-miR-1943-3p	chr15	79375236	79375256	-	21	0
mmu-miR-7213-5p	chr15	79999007	79999026	-	20	0
mmu-miR-7213-3p	chr15	79998970	79998989	-	20	0
mmu-miR-6957-5p	chr15	80646078	80646098	+	21	0
mmu-miR-6957-3p	chr15	80646113	80646134	+	22	0
mmu-miR-5113	chr15	80940049	80940071	+	23	0
mmu-miR-33-5p	chr15	82198127	82198147	+	21	4
mmu-miR-33-3p	chr15	82198167	82198188	+	22	0
mmu-miR-7684-5p	chr15	82393958	82393978	-	21	0
mmu-miR-7684-3p	chr15	82393919	82393940	-	22	0
mmu-miR-3080-5p	chr15	82959266	82959285	-	20	0
mmu-miR-3080-3p	chr15	82959228	82959249	-	22	0
mmu-miR-6392-5p	chr15	84168285	84168307	+	23	0
mmu-miR-6392-3p	chr15	84168334	84168356	+	23	0
mmu-miR-1249-5p	chr15	84951579	84951603	-	25	0
mmu-miR-1249-3p	chr15	84951545	84951566	-	22	0
mmu-let-7c-5p	chr15	85706616	85706637	+	22	1
mmu-let-7c-2-3p	chr15	85706664	85706685	+	22	0
mmu-let-7b-5p	chr15	85707325	85707346	+	22	0
mmu-let-7b-3p	chr15	85707379	85707400	+	22	0
mmu-miR-6393	chr15	87795919	87795940	-	22	0
mmu-miR-7118-5p	chr15	89162882	89162903	-	22	0
mmu-miR-7118-3p	chr15	89162849	89162870	-	22	1
mmu-miR-6958-5p	chr15	89185516	89185537	-	22	0
mmu-miR-6958-3p	chr15	89185465	89185487	-	23	3
mmu-miR-6959-5p	chr15	89305705	89305727	-	23	0
mmu-miR-6959-3p	chr15	89305658	89305679	-	22	2
mmu-miR-7648-5p	chr15	90224360	90224379	+	20	0
mmu-miR-7648-3p	chr15	90224392	90224412	+	21	3
mmu-miR-1291	chr15	98519828	98519853	-	26	2
mmu-miR-6960-5p	chr15	99080810	99080831	+	22	5
mmu-miR-6960-3p	chr15	99080844	99080865	+	22	0
mmu-miR-6961-5p	chr15	100649205	100649224	-	20	0
mmu-miR-6961-3p	chr15	100649163	100649184	-	22	0
mmu-miR-6962-5p	chr15	101193874	101193893	+	20	0
mmu-miR-6962-3p	chr15	101193908	101193929	+	22	1
mmu-miR-1941-5p	chr15	101369364	101369387	+	24	0
mmu-miR-1941-3p	chr15	101369401	101369421	+	21	0
mmu-miR-688	chr15	102671802	102671821	-	20	0
mmu-miR-196a-2-3p	chr15	102973401	102973422	+	22	0
mmu-miR-615-5p	chr15	103014926	103014947	+	22	0
mmu-miR-615-3p	chr15	103014969	103014990	+	22	0
mmu-miR-148b-5p	chr15	103285148	103285171	+	24	2
mmu-miR-148b-3p	chr15	103285185	103285206	+	22	4
mmu-miR-6963-5p	chr15	103350497	103350520	-	24	0
mmu-miR-6963-3p	chr15	103350455	103350477	-	23	4
mmu-miR-6364	chr16	5215790	5215811	-	22	0
mmu-miR-1945	chr16	11254381	11254402	-	22	0
mmu-miR-193b-5p	chr16	13449533	13449554	+	22	0
mmu-miR-193b-3p	chr16	13449570	13449591	+	22	1
mmu-miR-365-1-5p	chr16	13453855	13453877	+	23	0
mmu-miR-6365	chr16	13471103	13471124	-	22	0
mmu-miR-484	chr16	14159630	14159651	+	22	1216
mmu-miR-130b-5p	chr16	17124109	17124130	-	22	0
mmu-miR-130b-3p	chr16	17124071	17124092	-	22	0
mmu-miR-301b-5p	chr16	17124456	17124477	-	22	0
mmu-miR-301b-3p	chr16	17124420	17124442	-	23	7
mmu-miR-6366	chr16	18165093	18165114	-	22	0
mmu-miR-1306-3p	chr16	18284248	18284268	-	21	0
mmu-miR-1306-5p	chr16	18284288	18284310	-	23	0
mmu-miR-3618-5p	chr16	18284602	18284623	-	22	0
mmu-miR-3618-3p	chr16	18284562	18284583	-	22	0
mmu-miR-185-5p	chr16	18327438	18327459	-	22	0
mmu-miR-185-3p	chr16	18327405	18327425	-	21	0
mmu-miR-1224-5p	chr16	20604452	20604472	+	21	0
mmu-miR-1224-3p	chr16	20604516	20604536	+	21	0
mmu-miR-7680-5p	chr16	21256047	21256066	-	20	0
mmu-miR-7680-3p	chr16	21256013	21256034	-	22	0
mmu-miR-8095	chr16	22532128	22532149	-	22	0
mmu-miR-6362	chr16	22605342	22605363	+	22	0
mmu-miR-28a-5p	chr16	24827868	24827889	+	22	0
mmu-miR-28a-3p	chr16	24827908	24827929	+	22	0
mmu-miR-690	chr16	28599940	28599961	-	22	0
mmu-miR-1946a	chr16	32267540	32267566	-	27	0
mmu-miR-1947-5p	chr16	33105375	33105396	+	22	0
mmu-miR-1947-3p	chr16	33105411	33105432	+	22	0
mmu-miR-6540-5p	chr16	42303425	42303446	-	22	0
mmu-miR-6540-3p	chr16	42303386	42303406	-	21	0
mmu-miR-568	chr16	43640665	43640684	+	20	0
mmu-miR-3470b	chr16	44013885	44013905	+	21	0
mmu-miR-3081-5p	chr16	44558092	44558114	-	23	0
mmu-miR-3081-3p	chr16	44558058	44558080	-	23	0
mmu-miR-6363	chr16	50727204	50727225	+	22	0
mmu-miR-5118	chr16	55494770	55494788	+	19	0
mmu-miR-691	chr16	74342005	74342026	-	22	0
mmu-miR-99a-5p	chr16	77598940	77598961	+	22	0
mmu-miR-99a-3p	chr16	77598977	77598997	+	21	0
mmu-let-7c-1-3p	chr16	77599717	77599738	+	22	0
mmu-miR-125b-5p	chr16	77646279	77646300	+	22	1
mmu-miR-125b-2-3p	chr16	77646318	77646339	+	22	0
mmu-miR-155-5p	chr16	84714143	84714165	+	23	0
mmu-miR-155-3p	chr16	84714182	84714202	+	21	0
mmu-miR-6367	chr16	91527468	91527489	-	22	0
mmu-miR-802-5p	chr16	93369737	93369758	+	22	0
mmu-miR-802-3p	chr16	93369775	93369796	+	22	0
mmu-miR-6964-5p	chr16	97877266	97877286	-	21	0
mmu-miR-6964-3p	chr16	97877233	97877252	-	20	1
mmu-miR-99b-5p	chr17	17830194	17830215	+	22	8
mmu-miR-99b-3p	chr17	17830232	17830253	+	22	1
mmu-let-7e-5p	chr17	17830366	17830387	+	22	0
mmu-let-7e-3p	chr17	17830411	17830432	+	22	0
mmu-miR-125a-5p	chr17	17830817	17830840	+	24	42
mmu-miR-125a-3p	chr17	17830855	17830876	+	22	0
mmu-miR-5125	chr17	23823339	23823358	+	20	0
mmu-miR-5134-5p	chr17	24234575	24234595	-	21	0
mmu-miR-5134-3p	chr17	24234535	24234556	-	22	0
mmu-miR-6965-5p	chr17	24240919	24240942	-	24	0
mmu-miR-6965-3p	chr17	24240884	24240905	-	22	1
mmu-miR-3547-5p	chr17	25245614	25245638	-	25	0
mmu-miR-3547-3p	chr17	25245551	25245571	-	21	0
mmu-miR-6966-5p	chr17	25780813	25780833	+	21	3
mmu-miR-6966-3p	chr17	25780859	25780879	+	21	0
mmu-miR-3082-5p	chr17	25831406	25831427	-	22	0
mmu-miR-3082-3p	chr17	25831366	25831387	-	22	11
mmu-miR-6967-5p	chr17	26920967	26920987	+	21	0
mmu-miR-6967-3p	chr17	26921000	26921019	+	20	2
mmu-miR-6968-5p	chr17	26935472	26935493	+	22	0
mmu-miR-6968-3p	chr17	26935518	26935539	+	22	1
mmu-miR-3083-5p	chr17	26948093	26948114	-	22	0
mmu-miR-3083-3p	chr17	26948058	26948079	-	22	0
mmu-miR-7677-5p	chr17	27091245	27091269	+	25	0
mmu-miR-7677-3p	chr17	27091289	27091311	+	23	0
mmu-miR-7214-5p	chr17	27317073	27317095	-	23	0
mmu-miR-7214-3p	chr17	27317035	27317058	-	24	0
mmu-miR-7216-5p	chr17	27328385	27328408	+	24	0
mmu-miR-7216-3p	chr17	27328440	27328460	+	21	0
mmu-miR-7217-5p	chr17	27355738	27355762	+	25	0
mmu-miR-7217-3p	chr17	27355778	27355799	+	22	0
mmu-miR-7218-5p	chr17	27358097	27358117	+	21	0
mmu-miR-7218-3p	chr17	27358132	27358155	+	24	0
mmu-miR-6969-5p	chr17	28558475	28558496	-	22	0
mmu-miR-6969-3p	chr17	28558441	28558460	-	20	2
mmu-miR-7667-5p	chr17	29595538	29595559	+	22	0
mmu-miR-7667-3p	chr17	29595579	29595600	+	22	0
mmu-miR-219a-5p	chr17	34025052	34025072	-	21	0
mmu-miR-219a-1-3p	chr17	34025010	34025031	-	22	2
mmu-miR-219c-5p	chr17	34025012	34025033	+	22	0
mmu-miR-219c-3p	chr17	34025050	34025071	+	22	0
mmu-miR-6971-5p	chr17	34841847	34841866	-	20	0
mmu-miR-6971-3p	chr17	34841809	34841829	-	21	0
mmu-miR-6970-5p	chr17	34845143	34845167	-	25	2
mmu-miR-6970-3p	chr17	34845104	34845124	-	21	1
mmu-miR-6972-5p	chr17	34857605	34857627	-	23	0
mmu-miR-6972-3p	chr17	34857569	34857589	-	21	0
mmu-miR-6973a-5p	chr17	35194977	35194998	+	22	0
mmu-miR-6973a-3p	chr17	35195024	35195045	+	22	0
mmu-miR-6974-5p	chr17	35204534	35204557	-	24	0
mmu-miR-6974-3p	chr17	35204475	35204496	-	22	0
mmu-miR-6975-5p	chr17	35244080	35244102	+	23	0
mmu-miR-6975-3p	chr17	35244116	35244135	+	20	2
mmu-miR-8094	chr17	35251314	35251334	+	21	2
mmu-miR-1894-5p	chr17	35917899	35917920	+	22	0
mmu-miR-1894-3p	chr17	35917938	35917959	+	22	0
mmu-miR-877-5p	chr17	35960795	35960814	-	20	422
mmu-miR-877-3p	chr17	35960731	35960752	-	22	54
mmu-miR-693-5p	chr17	46231551	46231571	+	21	0
mmu-miR-693-3p	chr17	46231581	46231603	+	23	0
mmu-miR-6976-5p	chr17	46553862	46553884	-	23	0
mmu-miR-6976-3p	chr17	46553827	46553847	-	21	1
mmu-miR-7b-5p	chr17	56243017	56243039	+	23	2
mmu-miR-7b-3p	chr17	56243055	56243076	+	22	1
mmu-miR-6977-5p	chr17	56418885	56418909	-	25	0
mmu-miR-6977-3p	chr17	56418850	56418871	-	22	0
mmu-miR-6978-5p	chr17	57217201	57217223	-	23	0
mmu-miR-6978-3p	chr17	57217172	57217194	-	23	0
mmu-miR-6420	chr17	64440863	64440883	+	21	0
mmu-miR-5709-5p	chr17	67026197	67026218	-	22	0
mmu-miR-5709-3p	chr17	67026162	67026183	-	22	0
mmu-miR-1195	chr17	70860558	70860580	-	23	1
mmu-miR-1893	chr18	6490574	6490595	-	22	0
mmu-miR-133a-5p	chr18	10782950	10782970	-	21	0
mmu-miR-133a-3p	chr18	10782913	10782934	-	22	0
mmu-miR-1b-5p	chr18	10785486	10785506	+	21	0
mmu-miR-1b-3p	chr18	10785525	10785547	+	23	0
mmu-miR-1a-2-5p	chr18	10785523	10785545	-	23	0
mmu-miR-1a-3p	chr18	10785485	10785506	-	22	0
mmu-miR-1901	chr18	11840371	11840392	-	22	0
mmu-miR-1948-5p	chr18	12714825	12714845	+	21	0
mmu-miR-1948-3p	chr18	12714862	12714883	+	22	0
mmu-miR-6360	chr18	23774938	23774959	-	22	0
mmu-miR-187-5p	chr18	24429147	24429168	-	22	1
mmu-miR-187-3p	chr18	24429110	24429131	-	22	5
mmu-miR-6361	chr18	32880574	32880596	-	23	0
mmu-miR-1949	chr18	35554612	35554635	+	24	6
mmu-miR-6979-5p	chr18	37854641	37854660	-	20	0
mmu-miR-6979-3p	chr18	37854605	37854625	-	21	2
mmu-miR-6981-5p	chr18	37974592	37974617	-	26	0
mmu-miR-6981-3p	chr18	37974503	37974524	-	22	1
mmu-miR-6980-5p	chr18	37990919	37990940	-	22	0
mmu-miR-6980-3p	chr18	37990887	37990906	-	20	0
mmu-miR-1258-5p	chr18	56538139	56538160	+	22	0
mmu-miR-1258-3p	chr18	56538177	56538198	+	22	0
mmu-miR-6355	chr18	59579646	59579666	+	21	0
mmu-miR-5107-5p	chr18	60812086	60812106	+	21	0
mmu-miR-5107-3p	chr18	60812130	60812151	+	22	0
mmu-miR-7220-5p	chr18	60953873	60953894	+	22	0
mmu-miR-7220-3p	chr18	60953910	60953932	+	23	0
mmu-miR-6982-5p	chr18	60958078	60958102	+	25	0
mmu-miR-6982-3p	chr18	60958120	60958140	+	21	0
mmu-miR-6983-5p	chr18	61117473	61117494	+	22	0
mmu-miR-6983-3p	chr18	61117509	61117531	+	23	0
mmu-miR-378a-5p	chr18	61397875	61397896	-	22	0
mmu-miR-378a-3p	chr18	61397838	61397858	-	21	69
mmu-miR-145a-5p	chr18	61647866	61647888	-	23	0
mmu-miR-145a-3p	chr18	61647827	61647848	-	22	0
mmu-miR-143-5p	chr18	61649233	61649253	-	21	0
mmu-miR-143-3p	chr18	61649199	61649219	-	21	155
mmu-miR-122-5p	chr18	65248866	65248887	+	22	0
mmu-miR-122-3p	chr18	65248901	65248920	+	20	0
mmu-miR-694	chr18	66219276	66219294	-	19	0
mmu-miR-7219-5p	chr18	68260951	68260973	-	23	0
mmu-miR-7219-3p	chr18	68260920	68260940	-	21	0
mmu-miR-6356	chr18	68739401	68739421	+	21	0
mmu-miR-145b	chr18	69022237	69022257	-	21	0
mmu-miR-6357	chr18	70516862	70516884	+	23	0
mmu-miR-6358	chr18	76170554	76170576	+	23	0
mmu-miR-5127	chr18	81992020	81992038	-	19	0
mmu-miR-5112	chr18	82720291	82720309	+	19	0
mmu-miR-6359	chr18	88972087	88972107	+	21	0
mmu-miR-6984-5p	chr19	3288925	3288948	+	24	0
mmu-miR-6984-3p	chr19	3288961	3288981	+	21	0
mmu-miR-6985-5p	chr19	4263852	4263873	-	22	0
mmu-miR-6985-3p	chr19	4263818	4263838	-	21	0
mmu-miR-6986-5p	chr19	4623929	4623950	-	22	1
mmu-miR-6986-3p	chr19	4623898	4623916	-	19	1
mmu-miR-6987-5p	chr19	5679050	5679071	-	22	1
mmu-miR-6987-3p	chr19	5679004	5679026	-	23	0
mmu-miR-6988-5p	chr19	6051338	6051358	+	21	0
mmu-miR-6988-3p	chr19	6051371	6051392	+	22	2
mmu-miR-194-2-3p	chr19	6264694	6264715	+	22	0
mmu-miR-192-5p	chr19	6264857	6264877	+	21	3
mmu-miR-192-3p	chr19	6264900	6264921	+	22	0
mmu-miR-6989-5p	chr19	6346485	6346506	+	22	0
mmu-miR-6989-3p	chr19	6346523	6346544	+	22	1
mmu-miR-5046	chr19	6829917	6829940	-	24	0
mmu-miR-6990-5p	chr19	6914261	6914281	-	21	0
mmu-miR-6990-3p	chr19	6914196	6914216	-	21	1
mmu-miR-6991-5p	chr19	7422578	7422599	+	22	2
mmu-miR-6991-3p	chr19	7422621	7422642	+	22	1
mmu-miR-6992-5p	chr19	8742976	8742998	+	23	1
mmu-miR-6992-3p	chr19	8743058	8743079	+	22	0
mmu-miR-5136	chr19	8888709	8888728	-	20	1
mmu-miR-6993-5p	chr19	10191380	10191402	+	23	0
mmu-miR-6993-3p	chr19	10191419	10191439	+	21	0
mmu-miR-6994-5p	chr19	11923733	11923755	+	23	3
mmu-miR-6994-3p	chr19	11923778	11923798	+	21	0
mmu-miR-496b	chr19	16314894	16314915	-	22	0
mmu-miR-204-5p	chr19	22750610	22750631	+	22	1
mmu-miR-204-3p	chr19	22750649	22750669	+	21	0
mmu-miR-1192	chr19	23149450	23149471	+	22	0
mmu-miR-3084-5p	chr19	24942276	24942297	-	22	2
mmu-miR-3084-3p	chr19	24942240	24942260	-	21	11
mmu-miR-101b-5p	chr19	29135302	29135324	+	23	0
mmu-miR-101b-3p	chr19	29135338	29135356	+	19	60
mmu-miR-3970	chr19	33157122	33157141	+	20	0
mmu-miR-107-5p	chr19	34820737	34820759	-	23	0
mmu-miR-107-3p	chr19	34820700	34820722	-	23	9
mmu-miR-1950	chr19	34965402	34965423	+	22	0
mmu-miR-8092	chr19	40894754	40894774	+	21	0
mmu-miR-8091	chr19	41588691	41588712	+	22	0
mmu-miR-3085-5p	chr19	42280131	42280155	-	25	0
mmu-miR-3085-3p	chr19	42280095	42280115	-	21	0
mmu-miR-5114	chr19	44303171	44303192	+	22	2
